Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,None,17B-0 ww,17B-0,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-2,17B-2 ww,17B-2,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-3,17B-3 ww,17B-3,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-4,17B-4 ww,17B-4,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-5,17B-5 ww,17B-5,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-6,17B-6 ww,17B-6,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-7,17B-7 ww,17B-7,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-10,17B-10 ww,17B-10,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-12,17B-12 ww,17B-12,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-15,17B-15 ww,17B-15,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-17 or 18,17B-17 ww,17B-17,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-20,17B-20 ww,17B-20,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-21 to R-23,17B-22 ww,17B-22,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-24 to R-26,17B-25 ww,17B-25,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-27 to R-29,17B-28 ww,17B-28,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-30 to R-32,17B-31 ww,17B-31,
Ceiling on exposed beams,"1.5"" wood",,,,Wood shakes,White,,R-33 to R-35,17B-34 ww,17B-34,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Asphalt shingles,Dark,,None,17A-2cf ad,17A-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Asphalt shingles,Light,,None,17B-2cf al,17B-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Asphalt shingles,White,,None,17B-2cf aw,17B-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Membrane,Dark,,None,17A-2cf zd,17A-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Membrane,Light,,None,17B-2cf zl,17B-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Membrane,White,,None,17B-2cf zw,17B-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Metal,Dark,,None,17A-2cf md,17A-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Metal,Light,,None,17B-2cf ml,17B-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Metal,White,,None,17B-2cf mw,17B-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Tar and gravel,Dark,,None,17A-2cf xd,17A-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Tar and gravel,Light,,None,17B-2cf xl,17B-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Tile,Dark,,None,17A-2cf td,17A-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Tile,Light,,None,17B-2cf tl,17B-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Tile,White,,None,17B-2cf tw,17B-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Wood shakes,Dark,,None,17A-2cf wd,17A-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Wood shakes,Light,,None,17B-2cf wl,17B-2cf,
Ceiling on exposed beams,"2"" cement fiber slab",,,,Wood shakes,White,,None,17B-2cf ww,17B-2cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Asphalt shingles,Dark,,None,17A-3cf ad,17A-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Asphalt shingles,Light,,None,17B-3cf al,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Asphalt shingles,White,,None,17B-3cf aw,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Membrane,Dark,,None,17A-3cf zd,17A-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Membrane,Light,,None,17B-3cf zl,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Membrane,White,,None,17B-3cf zw,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Metal,Dark,,None,17A-3cf md,17A-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Metal,Light,,None,17B-3cf ml,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Metal,White,,None,17B-3cf mw,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Tar and gravel,Dark,,None,17A-3cf xd,17A-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Tar and gravel,Light,,None,17B-3cf xl,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Tar and gravel,White,,None,17B-3cf xw,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Tile,Dark,,None,17A-3cf td,17A-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Tile,Light,,None,17B-3cf tl,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Tile,White,,None,17B-3cf tw,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Wood shakes,Dark,,None,17A-3cf wd,17A-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Wood shakes,Light,,None,17B-3cf wl,17B-3cf,
Ceiling on exposed beams,"3"" cement fiber slab",,,,Wood shakes,White,,None,17B-3cf ww,17B-3cf,
Ceiling under attic or attic knee wall,,None,No,No,,,,None,16A-0,16A-0,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-7,16A-7,16A-7,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-11,16A-11,16A-11,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-13,16A-13,16A-13,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-15,16A-15,16A-15,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-19,16A-19,16A-19,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-21,16A-21,16A-21,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-25,16A-25,16A-25,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-28,16A-28,16A-28,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-30,16A-30,16A-30,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-38,16A-38,16A-38,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-44,16A-44,16A-44,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-50,16A-50,16A-50,
Ceiling under attic or attic knee wall,,None,No,No,,,,R-56,16A-56,16A-56,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,None,16BR-0,16B-0,No BR defined in construction number 16. Substituted B
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-7,16BR-7,16B-7,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-11,16BR-11,16B-11,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-13,16BR-13,16B-13,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-15,16BR-15,16B-15,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-19,16BR-19,16B-19,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-21,16BR-21,16B-21,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-25,16BR-25,16B-25,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-28,16BR-28,16B-28,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-30,16BR-30,16B-30,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-38,16BR-38,16B-38,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-44,16BR-44,16B-44,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-50,16BR-50,16B-50,
Ceiling under attic or attic knee wall,,None,No,Yes,,,,R-56,16BR-56,16B-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,None,16B-0 ad,16B-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-7,16B-7 ad,16B-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-11,16B-11 ad,16B-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-13,16B-13 ad,16B-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-15,16B-15 ad,16B-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-19,16B-19 ad,16B-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-21,16B-21 ad,16B-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-25,16B-25 ad,16B-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-28,16B-28 ad,16B-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-30,16B-30 ad,16B-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-38,16B-38 ad,16B-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-44,16B-44 ad,16B-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-50,16B-50 ad,16B-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Dark,,R-56,16B-56 ad,16B-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,None,16C-0 ad,16C-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-7,16C-7 al,16C-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-11,16C-11 al,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-13,16C-13 al,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-15,16C-15 al,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-19,16C-19 al,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-21,16C-21 al,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-25,16C-25 al,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-28,16C-28 al,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-30,16C-30 al,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-38,16C-38 al,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-44,16C-44 al,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-50,16C-50 al,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Asphalt shingles,Light,,R-56,16C-56 al,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,None,16B-0 zd,16B-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-7,16B-7 zd,16B-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-11,16B-11 zd,16B-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-13,16B-13 zd,16B-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-15,16B-15 zd,16B-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-19,16B-19 zd,16B-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-21,16B-21 zd,16B-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-25,16B-25 zd,16B-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-28,16B-28 zd,16B-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-30,16B-30 zd,16B-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-38,16B-38 zd,16B-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-44,16B-44 zd,16B-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-50,16B-50 zd,16B-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Dark,,R-56,16B-56 zd,16B-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,None,16C-0 zl,16C-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-7,16C-7 zl,16C-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-11,16C-11 zl,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-13,16C-13 zl,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-15,16C-15 zl,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-19,16C-19 zl,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-21,16C-21 zl,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-25,16C-25 zl,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-28,16C-28 zl,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-30,16C-30 zl,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-38,16C-38 zl,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-44,16C-44 zl,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-50,16C-50 zl,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,Light,,R-56,16C-56 zl,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,None,16F-0 zw,16F-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-7,16F-7 zw,16F-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-11,16F-11 zw,16F-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-13,16F-13 zw,16F-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-15,16F-15 zw,16F-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-19,16F-19 zw,16F-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-21,16F-21 zw,16F-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-25,16F-25 zw,16F-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-28,16F-28 zw,16F-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-30,16F-30 zw,16F-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-38,16F-38 zw,16F-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-44,16F-44 zw,16F-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-50,16F-50 zw,16F-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Membrane,White,,R-56,16F-56 zw,16F-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,None,16B-0 md,16B-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-7,16B-7 md,16B-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-11,16B-11 md,16B-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-13,16B-13 md,16B-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-15,16B-15 md,16B-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-19,16B-19 md,16B-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-21,16B-21 md,16B-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-25,16B-25 md,16B-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-28,16B-28 md,16B-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-30,16B-30 md,16B-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-38,16B-38 md,16B-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-44,16B-44 md,16B-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-50,16B-50 md,16B-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Dark,,R-56,16B-56 md,16B-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,None,16C-0 ml,16C-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-7,16C-7 ml,16C-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-11,16C-11 ml,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-13,16C-13 ml,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-15,16C-15 ml,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-19,16C-19 ml,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-21,16C-21 ml,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-25,16C-25 ml,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-28,16C-28 ml,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-30,16C-30 ml,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-38,16C-38 ml,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-44,16C-44 ml,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-50,16C-50 ml,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,Light,,R-56,16C-56 ml,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,None,16F-0 mw,16F-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-7,16F-7 mw,16F-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-11,16F-11 mw,16F-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-13,16F-13 mw,16F-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-15,16F-15 mw,16F-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-19,16F-19 mw,16F-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-21,16F-21 mw,16F-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-25,16F-25 mw,16F-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-28,16F-28 mw,16F-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-30,16F-30 mw,16F-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-38,16F-38 mw,16F-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-44,16F-44 mw,16F-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-50,16F-50 mw,16F-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Metal,White,,R-56,16F-56 mw,16F-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,None,16B-0 xd,16B-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-7,16B-7 xd,16B-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-11,16B-11 xd,16B-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-13,16B-13 xd,16B-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-15,16B-15 xd,16B-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-19,16B-19 xd,16B-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-21,16B-21 xd,16B-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-25,16B-25 xd,16B-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-28,16B-28 xd,16B-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-30,16B-30 xd,16B-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-38,16B-38 xd,16B-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-44,16B-44 xd,16B-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-50,16B-50 xd,16B-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Dark,,R-56,16B-56 xd,16B-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,None,16C-0 xl,16C-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-7,16C-7 xl,16C-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-11,16C-11 xl,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-13,16C-13 xl,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-15,16C-15 xl,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-19,16C-19 xl,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-21,16C-21 xl,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-25,16C-25 xl,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-28,16C-28 xl,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-30,16C-30 xl,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-38,16C-38 xl,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-44,16C-44 xl,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-50,16C-50 xl,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tar and gravel,Light,,R-56,16C-56 xl,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,None,16D-0 td,16D-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-7,16D-7 td,16D-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-11,16D-11 td,16D-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-13,16D-13 td,16D-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-15,16D-15 td,16D-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-19,16D-19 td,16D-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-21,16D-21 td,16D-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-25,16D-25 td,16D-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-28,16D-28 td,16D-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-30,16D-30 td,16D-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-38,16D-38 td,16D-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-44,16D-44 td,16D-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-50,16D-50 td,16D-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Dark,,R-56,16D-56 td,16D-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,None,16E-0 tl,16E-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-7,16E-7 tl,16E-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-11,16E-11 tl,16E-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-13,16E-13 tl,16E-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-15,16E-15 tl,16E-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-19,16E-19 tl,16E-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-21,16E-21 tl,16E-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-25,16E-25 tl,16E-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-28,16E-28 tl,16E-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-30,16E-30 tl,16E-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-38,16E-38 tl,16E-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-44,16E-44 tl,16E-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-50,16E-50 tl,16E-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,Light,,R-56,16E-56 tl,16E-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,None,16F-0 tw,16F-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-7,16F-7 tw,16F-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-11,16F-11 tw,16F-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-13,16F-13 tw,16F-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-15,16F-15 tw,16F-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-19,16F-19 tw,16F-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-21,16F-21 tw,16F-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-25,16F-25 tw,16F-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-28,16F-28 tw,16F-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-30,16F-30 tw,16F-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-38,16F-38 tw,16F-38,
