Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-11,18A-11 md,18A-11,
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-13,18A-13 md,18A-13,
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-15,18A-15 md,18A-15,
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-19,18A-19 md,18A-19,
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-21,18A-21 md,18A-21,
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-30,18A-30 md,18A-30,
Ceiling below roof joists,,,,,Metal,Dark,Blanket or loose fill,R-38,18A-38 md,18A-38,
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-2,18A-2 md,18A-2,
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-3,18A-3 md,18A-3,
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-4,18A-4 md,18A-4,
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-5,18A-5 md,18A-5,
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-6,18A-6 md,18A-6,
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-8,18A-8 md,18A-8,
Ceiling below roof joists,,,,,Metal,Dark,Board insulation,R-10,18A-10 md,18A-10,
Ceiling below roof joists,,,,,Metal,Light,None,,18B-0 ml,18B-0,
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-11,18B-11 ml,18B-11,
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-13,18B-13 ml,18B-13,
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-15,18B-15 ml,18B-15,
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-19,18B-19 ml,18B-19,
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-21,18B-21 ml,18B-21,
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-30,18B-30 ml,18B-30,
Ceiling below roof joists,,,,,Metal,Light,Blanket or loose fill,R-38,18B-38 ml,18B-38,
